name,serving_size,calories,total_fat,cholesterol,sodium,protein,carbohydrate,fiber,sugars
"MOTHER'S, Jungle Animal Cookies",100 g,514,25g,1mg,192.00 mg,3.80 g,68.30 g,0.8 g,44.20 g
"Peas, unprepared, frozen, green",100 g,77,0.4g,0,108.00 mg,5.22 g,13.62 g,4.5 g,5.00 g
"Fish, raw, mixed species, perch",100 g,91,0.9g,90mg,62.00 mg,19.39 g,0.00 g,0.0 g,0.00 g
"Luncheon sausage, pork and beef",100 g,260,21g,64mg,1182.00 mg,15.38 g,1.58 g,0.0 g,0
"GIRL SCOUTS, Thin Mints Cookies",100 g,502,24g,0,380.00 mg,4.50 g,67.30 g,2.3 g,32.00 g
"McDONALD'S, Sweet 'N Sour Sauce",100 g,170,1.1g,0,557.00 mg,0.66 g,39.38 g,0.0 g,35.79 g
"McDONALD'S, Spicy Buffalo Sauce",100 g,142,15g,0,2140.00 mg,0.54 g,1.81 g,1.5 g,0.00 g
"Wheat flours, unenriched, bread",100 g,361,1.7g,0,2.00 mg,11.98 g,72.53 g,2.4 g,0.31 g
"Veal, cooked, external fat only",100 g,540,53g,85mg,103.00 mg,15.28 g,0.00 g,0.0 g,0.00 g
"Puddings, ready-to-eat, vanilla",100 g,130,3.8g,1mg,142.00 mg,1.45 g,22.60 g,0.0 g,16.97 g
"Mushrooms, stir-fried, shiitake",100 g,39,0.4g,0,5.00 mg,3.45 g,7.68 g,3.6 g,0.30 g
"Cranberry-orange relish, canned",100 g,178,0.1g,0,32.00 mg,0.30 g,46.20 g,0.0 g,0
"BEAR NAKED, Fruit & Nut Cookies",100 g,443,21g,0,133.00 mg,7.50 g,61.60 g,7.1 g,29.40 g
"TACO BELL, Soft Taco with steak",100 g,225,12g,31mg,551.00 mg,11.81 g,17.22 g,1.6 g,0
"Cauliflower, unprepared, frozen",100 g,24,0.3g,0,24.00 mg,2.01 g,4.68 g,2.3 g,2.22 g
"Beans, with pork, canned, baked",100 g,106,1.6g,7mg,414.00 mg,5.19 g,19.99 g,5.5 g,0
"Fish, raw, bluefin, fresh, tuna",100 g,144,4.9g,38mg,39.00 mg,23.33 g,0.00 g,0.0 g,0.00 g
"Fish, raw, mixed species, trout",100 g,148,6.6g,58mg,52.00 mg,20.77 g,0.00 g,0.0 g,0.00 g
"Fish, raw, wild, rainbow, trout",100 g,119,3.5g,59mg,31.00 mg,20.48 g,0.00 g,0.0 g,0
"Candies, YORK Peppermint Pattie",100 g,384,7.2g,1mg,28.00 mg,2.19 g,80.99 g,2.0 g,63.78 g
"Tree fern, without salt, cooked",100 g,40,0.1g,0,5.00 mg,0.29 g,10.98 g,3.7 g,0
"Cabbage, raw, chinese (pe-tsai)",100 g,16,0.2g,0,9.00 mg,1.20 g,3.23 g,1.2 g,1.41 g
"Pizza rolls, unprepared, frozen",100 g,328,10g,6mg,599.00 mg,8.73 g,50.72 g,1.2 g,3.74 g
"Vitasoy USA Azumaya, Firm Tofu",100 g,80,4.2g,0,0,9.08 g,1.52 g,0.6 g,0.40 g
"Milk, whole, fluid, buttermilk",100 g,62,3.3g,11mg,105.00 mg,3.21 g,4.88 g,0.0 g,4.88 g
"Snacks, salted, plantain chips",100 g,531,30g,0,202.00 mg,2.28 g,63.84 g,3.5 g,0.92 g
"Soup, dry, chicken broth cubes",100 g,198,4.7g,13mg,24000.00 mg,14.60 g,23.50 g,0.0 g,0.00 g
"Bologna, turkey and beef, pork",100 g,336,29g,75mg,1055.00 mg,11.56 g,6.66 g,0.0 g,1.35 g
"Bologna, lite, pork and turkey",100 g,211,16g,79mg,716.00 mg,13.06 g,3.45 g,0.0 g,0.00 g
"Restaurant, tripe soup, Latino",100 g,74,2.6g,59mg,411.00 mg,8.61 g,4.07 g,0,0
"Mungo beans, raw, mature seeds",100 g,341,1.6g,0,38.00 mg,25.21 g,58.99 g,18.3 g,0
"Fish, dry heat, cooked, burbot",100 g,115,1g,77mg,124.00 mg,24.76 g,0.00 g,0.0 g,0
"Ravioli, canned, cheese-filled",100 g,77,1.5g,3mg,306.00 mg,2.48 g,13.64 g,1.3 g,3.72 g
"Beans, raw, mature seeds, pink",100 g,343,1.1g,0,8.00 mg,20.96 g,64.19 g,12.7 g,2.14 g
"Sausage, links, sweet, Italian",100 g,149,8.4g,30mg,570.00 mg,16.13 g,2.10 g,0.0 g,0.00 g
"Buckwheat groats, dry, roasted",100 g,346,2.7g,0,11.00 mg,11.73 g,74.95 g,10.3 g,0
"Yogurt, nonfat milk, chocolate",100 g,112,0g,1mg,135.00 mg,3.53 g,23.53 g,1.2 g,14.97 g
"Beverages, non-alcoholic, Wine",100 g,6,0g,0,7.00 mg,0.50 g,1.10 g,0.0 g,1.10 g
"Babyfood, strained, beef, meat",100 g,81,2.5g,51mg,41.00 mg,12.03 g,2.43 g,0.0 g,0.00 g
"Babyfood, strained, pork, meat",100 g,124,7.1g,48mg,42.00 mg,14.00 g,0.00 g,0.0 g,0.00 g
"Babyfood, strained, veal, meat",100 g,81,2.5g,33mg,39.00 mg,13.12 g,1.51 g,0.0 g,0.00 g
"Guinea hen, raw, meat and skin",100 g,158,6.5g,74mg,67.00 mg,23.40 g,0.00 g,0.0 g,0
"Peppers, raw, green, hot chili",100 g,40,0.2g,0,7.00 mg,2.00 g,9.46 g,1.5 g,5.10 g
"Squash, raw, butternut, winter",100 g,45,0.1g,0,4.00 mg,1.00 g,11.69 g,2.0 g,2.20 g
"Peppers, sauteed, green, sweet",100 g,127,12g,0,17.00 mg,0.78 g,4.22 g,1.8 g,2.17 g
"Bread, unenriched, white, pita",100 g,275,1.2g,0,536.00 mg,9.10 g,55.70 g,2.2 g,0
"Corn flour, white, whole-grain",100 g,361,3.9g,0,5.00 mg,6.93 g,76.85 g,7.3 g,0.64 g
"Salad dressing, sweet and sour",100 g,15,0g,0,208.00 mg,0.10 g,3.70 g,0.0 g,3.70 g
"Bologna, pork, turkey, chicken",100 g,298,26g,80mg,922.00 mg,9.88 g,5.65 g,0.0 g,0.00 g
"Rice, raw, medium-grain, brown",100 g,362,2.7g,0,4.00 mg,7.50 g,76.17 g,3.4 g,0
"Cocoa, unsweetened, dry powder",100 g,228,14g,0,21.00 mg,19.60 g,57.90 g,37.0 g,1.75 g
"McDONALD'S, Hot Caramel Sundae",100 g,188,4.9g,16mg,80.00 mg,3.58 g,33.36 g,0.0 g,23.54 g
"BURGER KING, Hash Brown Rounds",100 g,302,19g,0,568.00 mg,2.80 g,29.37 g,2.3 g,0.63 g
"Beverages, canned, grape drink",100 g,61,0g,0,16.00 mg,0.00 g,15.72 g,0.0 g,13.06 g
"Candies, 100 GRAND Bar, NESTLE",100 g,468,19g,12mg,203.00 mg,2.50 g,70.97 g,1.0 g,51.90 g
"Sausage, cooked, pork, Italian",100 g,344,27g,57mg,743.00 mg,19.12 g,4.27 g,0.1 g,1.86 g
"Babyfood, dry, rice and apples",100 g,396,2.4g,0,16.00 mg,6.70 g,86.89 g,3.0 g,3.22 g
"OLIVE GARDEN, lasagna classico",100 g,184,11g,40mg,450.00 mg,11.28 g,10.33 g,1.6 g,3.53 g
"Soup, condensed, canned, onion",100 g,46,1.4g,0,516.00 mg,3.06 g,6.68 g,0.7 g,2.72 g
"Mangosteen, syrup pack, canned",100 g,73,0.6g,0,7.00 mg,0.41 g,17.91 g,1.8 g,0
"Kiwifruit, raw, ZESPRI SunGold",100 g,63,0.3g,0,3.00 mg,1.02 g,15.79 g,1.4 g,12.30 g
"McDONALD'S, Sausage McGRIDDLES",100 g,312,18g,24mg,737.00 mg,8.41 g,31.25 g,1.0 g,11.23 g
"Flan, dry mix, caramel custard",100 g,348,0g,0,432.00 mg,0.00 g,91.60 g,0.0 g,0
"Snacks, cheese-flavor, popcorn",100 g,526,33g,11mg,889.00 mg,9.30 g,51.60 g,9.9 g,0.79 g
"Babyfood, toddler, dices, peas",100 g,64,0.8g,0,48.00 mg,3.90 g,10.30 g,3.9 g,4.13 g
"Egg, raw, fresh, whole, turkey",100 g,171,12g,933mg,151.00 mg,13.68 g,1.15 g,0.0 g,0
"Mollusks, raw, common, octopus",100 g,82,1g,48mg,230.00 mg,14.91 g,2.20 g,0.0 g,0.00 g
Vegetarian meatloaf or patties,100 g,197,9g,0,550.00 mg,21.00 g,8.00 g,4.6 g,1.20 g
"Pheasant, total edible, cooked",100 g,239,12g,89mg,43.00 mg,32.40 g,0.00 g,0.0 g,0.00 g
"Yogurt, nonfat, vanilla, Greek",100 g,78,0.2g,3mg,34.00 mg,8.64 g,10.37 g,0.5 g,9.54 g
"KEEBLER, Iced Cookies, ANIMALS",100 g,459,16g,0,337.00 mg,5.60 g,74.20 g,1.6 g,26.70 g
"Cheese, queso asadero, mexican",100 g,356,28g,105mg,705.00 mg,22.60 g,2.87 g,0.0 g,2.87 g
"Oat flour, partially debranned",100 g,404,9.1g,0,19.00 mg,14.66 g,65.70 g,6.5 g,0.80 g
"Potatoes, ready-to-eat, mashed",100 g,106,5g,13mg,298.00 mg,1.97 g,13.29 g,1.9 g,1.76 g
"Snacks, plain, CORNNUTS, KRAFT",100 g,446,16g,0,564.00 mg,8.50 g,71.86 g,6.9 g,0.61 g
"Noodles, cooked, enriched, egg",100 g,138,2.1g,29mg,5.00 mg,4.54 g,25.16 g,1.2 g,0.40 g
"Pitanga, raw, (surinam-cherry)",100 g,33,0.4g,0,3.00 mg,0.80 g,7.49 g,0,0
"Crackers, GOYA CRACKERS, snack",100 g,433,13g,0,0,14.25 g,64.35 g,3.8 g,2.35 g
"Beans, raw, mature seeds, navy",100 g,337,1.5g,0,5.00 mg,22.33 g,60.75 g,15.3 g,3.88 g
"Topping, SMUCKER'S MAGIC SHELL",100 g,609,44g,2mg,29.00 mg,2.94 g,50.07 g,2.9 g,47.06 g
"Bread stuffing, dry mix, bread",100 g,386,3.4g,1mg,1405.00 mg,11.00 g,76.20 g,3.2 g,8.27 g
"Broccoli, raw, flower clusters",100 g,28,0.4g,0,27.00 mg,2.98 g,5.06 g,2.3 g,1.48 g
"Gravy, golden pork, CAMPBELL'S",100 g,76,5.1g,8mg,525.00 mg,1.69 g,5.08 g,0.0 g,1.69 g
"SILK Plus Omega-3 DHA, soymilk",100 g,45,2.1g,0,49.00 mg,2.88 g,3.29 g,0.4 g,2.47 g
"Cheese, reduced fat, provolone",100 g,274,18g,55mg,615.00 mg,24.70 g,3.50 g,0.0 g,0.55 g
"Blueberries, sweetened, frozen",100 g,85,0.1g,0,1.00 mg,0.40 g,21.95 g,2.2 g,19.72 g
"Beets, drained, boiled, cooked",100 g,44,0.2g,0,77.00 mg,1.68 g,9.96 g,2.0 g,7.96 g
"Babyfood, orange-carrot, juice",100 g,43,0.1g,0,10.00 mg,0.50 g,9.90 g,0.4 g,8.40 g
"Fast foods, strawberry, sundae",100 g,175,5.1g,14mg,60.00 mg,4.09 g,29.18 g,0.0 g,0
"Chicken, raw, giblets, stewing",100 g,168,9.2g,240mg,77.00 mg,17.89 g,2.13 g,0.0 g,0
"McDONALD'S, McCHICKEN Sandwich",100 g,273,13g,27mg,624.00 mg,10.43 g,27.97 g,1.3 g,3.57 g
"Cream, fat free, half and half",100 g,59,1.4g,5mg,100.00 mg,2.60 g,9.00 g,0.0 g,5.00 g
"Squash, raw, spaghetti, winter",100 g,31,0.6g,0,17.00 mg,0.64 g,6.91 g,1.5 g,2.76 g
"Beans, microwaved, green, snap",100 g,39,0.5g,0,3.00 mg,2.31 g,6.41 g,3.4 g,3.22 g
"Babyfood, strained, lamb, meat",100 g,87,3.4g,36mg,43.00 mg,14.07 g,0.85 g,0.0 g,0.00 g
"Duck, raw, liver, domesticated",100 g,136,4.6g,515mg,140.00 mg,18.74 g,3.53 g,0.0 g,0
"Duck, raw, meat and skin, wild",100 g,211,15g,80mg,56.00 mg,17.42 g,0.00 g,0.0 g,0
"Oil, salad or cooking, soybean",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Candies, OH HENRY! Bar, NESTLE",100 g,462,23g,7mg,193.00 mg,7.70 g,65.50 g,1.9 g,46.20 g
"Candies, KRACKEL Chocolate Bar",100 g,512,27g,11mg,196.00 mg,6.62 g,63.96 g,2.2 g,52.53 g
"Candies, BABY RUTH Bar, NESTLE",100 g,459,22g,0,230.00 mg,5.40 g,64.80 g,2.0 g,54.00 g
"PEPPERIDGE FARM, Hamburger Bun",100 g,278,3.7g,1mg,381.00 mg,0.01 g,50.00 g,1.8 g,7.71 g
"Pickle and pimiento loaf, pork",100 g,225,16g,58mg,1040.00 mg,11.23 g,8.46 g,1.5 g,8.46 g
"SMART SOUP, Indian Bean Masala",100 g,57,0.9g,0,92.00 mg,3.30 g,10.50 g,2.6 g,2.30 g
"SMART SOUP, Moroccan Chick Pea",100 g,51,1.1g,0,148.00 mg,2.00 g,9.70 g,3.1 g,4.20 g
"SMART SOUP, Thai Coconut Curry",100 g,36,1.1g,0,141.00 mg,0.80 g,6.50 g,1.0 g,3.70 g
"NABISCO, NABISCO RITZ Crackers",100 g,492,23g,0,882.00 mg,7.23 g,63.51 g,2.3 g,8.14 g
"Fast foods, with chili, hotdog",100 g,260,12g,45mg,421.00 mg,11.85 g,27.45 g,0,0
"Spices, red or cayenne, pepper",100 g,318,17g,0,30.00 mg,12.01 g,56.63 g,27.2 g,10.34 g
"MOTHER'S, Iced Oatmeal Cookies",100 g,463,18g,1mg,493.00 mg,5.40 g,71.00 g,2.7 g,36.30 g
"Chili, canned entree, no beans",100 g,118,7.1g,21mg,411.00 mg,7.53 g,6.10 g,0.5 g,1.10 g
"Burrito, frozen, beef and bean",100 g,239,9.6g,8mg,587.00 mg,7.26 g,30.84 g,4.2 g,0.70 g
"Ostrich, cooked, outside strip",100 g,156,3.8g,93mg,72.00 mg,28.55 g,0.00 g,0.0 g,0.00 g
"Onions, tops only, young green",100 g,27,0.5g,0,15.00 mg,0.97 g,5.74 g,1.8 g,3.91 g
"Pork, unprepared, bacon, cured",100 g,417,40g,66mg,662.00 mg,12.62 g,1.28 g,0.0 g,1.00 g
"Nuts, dried, pinyon, pine nuts",100 g,629,61g,0,72.00 mg,11.57 g,19.30 g,10.7 g,0
"GIRL SCOUTS, Do-si-dos Cookies",100 g,478,21g,0,301.00 mg,8.10 g,66.00 g,3.7 g,31.10 g
"GIRL SCOUTS, Tagalongs Cookies",100 g,558,35g,0,371.00 mg,8.10 g,52.20 g,3.5 g,30.90 g
"Babyfood, junior, pears, fruit",100 g,44,0.1g,0,1.00 mg,0.30 g,11.60 g,2.8 g,7.34 g
"SWANSON, Chicken and Dumplings",100 g,93,4.1g,14mg,401.00 mg,4.45 g,9.72 g,0.8 g,0.81 g
"McDONALD'S, Creamy Ranch Sauce",100 g,468,52g,21mg,708.00 mg,1.11 g,3.49 g,0.0 g,3.45 g
"Game meat , raw, ground, bison",100 g,223,16g,70mg,66.00 mg,18.67 g,0.00 g,0.0 g,0.00 g
"Mollusks, raw, Pacific, oyster",100 g,81,2.3g,50mg,106.00 mg,9.45 g,4.95 g,0.0 g,0
"Yogurt, lowfat, vanilla, Greek",100 g,95,2.5g,5mg,40.00 mg,8.64 g,9.54 g,0.0 g,9.54 g
"Emu, broiled, cooked, top loin",100 g,152,3.1g,88mg,58.00 mg,29.07 g,0.00 g,0.0 g,0.00 g
"Cheese, low sodium, mozzarella",100 g,280,17g,54mg,16.00 mg,27.50 g,3.10 g,0.0 g,1.23 g
"Sauce, medium, white, homemade",100 g,147,11g,7mg,354.00 mg,3.84 g,9.17 g,0.2 g,4.38 g
"Crackers, egg and onion, matzo",100 g,391,3.9g,45mg,285.00 mg,10.00 g,77.10 g,5.0 g,0
"Mushrooms, grilled, portabella",100 g,29,0.6g,0,11.00 mg,3.28 g,4.44 g,2.2 g,2.26 g
"Game meat, raw, water, buffalo",100 g,99,1.4g,46mg,53.00 mg,20.39 g,0.00 g,0.0 g,0
"Beverages, brewed, Oolong, tea",100 g,1,0g,0,3.00 mg,0.00 g,0.15 g,0.0 g,0.00 g
"Nuts, raw, japanese, chestnuts",100 g,154,0.5g,0,14.00 mg,2.25 g,34.91 g,0,0
"Soup, mix, dry, chicken noodle",100 g,377,6.5g,74mg,3643.00 mg,15.42 g,62.32 g,3.2 g,1.90 g
"Cheese, whole milk, mozzarella",100 g,300,22g,79mg,627.00 mg,22.17 g,2.19 g,0.0 g,1.03 g
"Tomato products, sauce, canned",100 g,24,0.3g,0,474.00 mg,1.20 g,5.31 g,1.5 g,3.56 g
"Fast foods, with egg, biscuit",100 g,274,16g,180mg,655.00 mg,8.53 g,23.46 g,0.6 g,0
"Fast foods, with ham, biscuit",100 g,342,16g,22mg,974.00 mg,11.85 g,38.75 g,0.7 g,1.97 g
"Candies, 5TH AVENUE Candy Bar",100 g,482,24g,6mg,225.00 mg,8.78 g,62.68 g,3.1 g,47.19 g
"Snacks, pieces, fruit leather",100 g,359,2.7g,0,403.00 mg,1.00 g,82.82 g,0.0 g,57.58 g
"Beverages, Orange juice drink",100 g,54,0g,0,2.00 mg,0.20 g,13.41 g,0.2 g,9.36 g
"Babyfood, peas and brown rice",100 g,64,0.5g,0,6.00 mg,3.40 g,11.49 g,2.5 g,2.89 g
HOUSE FOODS Premium Soft Tofu,100 g,59,2.7g,0,34.00 mg,6.38 g,2.19 g,0.8 g,0.53 g
"Sweet potato, unprepared, raw",100 g,86,0.1g,0,55.00 mg,1.57 g,20.12 g,3.0 g,4.18 g
"Jackfruit, syrup pack, canned",100 g,92,0.1g,0,11.00 mg,0.36 g,23.94 g,0.9 g,0
"Mung beans, raw, mature seeds",100 g,347,1.2g,0,15.00 mg,23.86 g,62.62 g,16.3 g,6.60 g
"KEEBLER, Sweet Cremes Cookies",100 g,469,19g,0,267.00 mg,4.50 g,71.00 g,1.3 g,32.00 g
"Sausage, beef, pork, Berliner",100 g,230,17g,46mg,1297.00 mg,15.27 g,2.59 g,0.0 g,2.35 g
"Syrups, pancake, table blends",100 g,234,0g,0,82.00 mg,0.00 g,61.47 g,0.0 g,21.47 g
"Babyfood, strained, ham, meat",100 g,97,3.8g,24mg,44.00 mg,11.30 g,3.70 g,0.0 g,0.00 g
"CHICK-FIL-A, chicken sandwich",100 g,249,11g,35mg,753.00 mg,16.28 g,20.89 g,1.4 g,3.64 g
"Sugar-apples, raw, (sweetsop)",100 g,94,0.3g,0,9.00 mg,2.06 g,23.64 g,4.4 g,0
"Pheasant, raw, meat only, leg",100 g,134,4.3g,80mg,45.00 mg,22.20 g,0.00 g,0.0 g,0
"Nuts, raw, chinese, chestnuts",100 g,224,1.1g,0,3.00 mg,4.20 g,49.07 g,0,0
"Bread, wheat, reduced-calorie",100 g,217,2.9g,0,332.00 mg,13.32 g,42.47 g,11.1 g,3.71 g
"Bread, white, reduced-calorie",100 g,207,2.5g,0,479.00 mg,8.70 g,44.30 g,9.7 g,4.76 g
"Oil, salad or cooking, sesame",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Cornmeal, yellow, whole-grain",100 g,362,3.6g,0,35.00 mg,8.12 g,76.89 g,7.3 g,0.64 g
"Chicken patty, cooked, frozen",100 g,287,20g,43mg,532.00 mg,14.85 g,12.84 g,0.3 g,0.00 g
"Potato soup, dry mix, instant",100 g,343,3.1g,12mg,2400.00 mg,9.20 g,76.14 g,7.6 g,10.00 g
"SUNSHINE, Snack Mix, CHEEZ-IT",100 g,438,15g,0,1107.00 mg,9.00 g,66.70 g,3.7 g,2.20 g
"Fish, raw, Greenland, halibut",100 g,186,14g,46mg,80.00 mg,14.37 g,0.00 g,0.0 g,0.00 g
"Turkey sausage, cooked, fresh",100 g,196,10g,92mg,665.00 mg,23.89 g,0.00 g,0.0 g,0.00 g
"Pasta, dry, corn, gluten-free",100 g,357,2.1g,0,3.00 mg,7.46 g,79.26 g,11.0 g,0
"Nance, drained, syrup, canned",100 g,95,1.3g,0,8.00 mg,0.56 g,22.79 g,7.0 g,15.66 g
"WENDY'S, Frosty Dairy Dessert",100 g,132,2.6g,16mg,98.00 mg,3.49 g,23.62 g,3.3 g,0
"Pokeberry shoots, raw, (poke)",100 g,23,0.4g,0,23.00 mg,2.60 g,3.70 g,1.7 g,0
"Potatoes, raw, flesh and skin",100 g,77,0.1g,0,6.00 mg,2.05 g,17.49 g,2.1 g,0.82 g
"McDONALD'S, Strawberry Sundae",100 g,158,4g,13mg,47.00 mg,3.19 g,28.09 g,0.0 g,25.32 g
"Peppers, sun-dried, hot chile",100 g,324,5.8g,0,91.00 mg,10.58 g,69.86 g,28.7 g,41.06 g
"Nopales, without salt, cooked",100 g,15,0.1g,0,20.00 mg,1.35 g,3.28 g,2.0 g,1.12 g
"T.G.I. FRIDAY'S, french fries",100 g,296,15g,1mg,409.00 mg,3.74 g,36.90 g,4.1 g,0.00 g
"APPLEBEE'S, mozzarella sticks",100 g,316,18g,33mg,838.00 mg,14.87 g,22.87 g,2.1 g,2.80 g
"BARBARA DEE, Winter Mints Cookies",100 g,515,26g,0,290.00 mg,3.90 g,67.10 g,2.0 g,35.80 g
"KEEBLER, Wheat Crackers, TOWN HOUSE",100 g,489,24g,1mg,876.00 mg,6.30 g,63.20 g,2.8 g,3.10 g
"Egg, pasteurized, frozen, raw, yolk",100 g,296,26g,991mg,67.00 mg,15.53 g,0.81 g,0.0 g,0.16 g
"Raspberries, sweetened, red, frozen",100 g,103,0.2g,0,1.00 mg,0.70 g,26.16 g,4.4 g,21.76 g
"Peas and carrots, unprepared, frozen",100 g,53,0.5g,0,79.00 mg,3.40 g,11.15 g,3.4 g,0
"Pie, prepared from recipe, blueberry",100 g,245,12g,0,185.00 mg,2.70 g,33.50 g,0,0
"Beans, drained solids, canned, pinto",100 g,114,0.9g,0,239.00 mg,6.99 g,20.22 g,5.5 g,0.54 g
"Turkey, with broth, meat only, canned",100 g,169,6.9g,66mg,518.00 mg,23.68 g,1.47 g,0.0 g,0.00 g
"Plums, wild (Northern Plains Indians)",100 g,91,0.2g,0,4.00 mg,0.43 g,21.95 g,6.0 g,10.61 g
"McDONALD'S, Grilled, RANCH SNACK WRAP",100 g,222,10g,0,577.00 mg,13.77 g,18.43 g,0.9 g,1.53 g
"Squirrel, meat (Alaska Native), ground",100 g,111,3.8g,0,0,19.30 g,0.00 g,0,0
"Cereals ready-to-eat, UNCLE SAM CEREAL",100 g,346,12g,0,206.00 mg,15.98 g,65.78 g,20.3 g,1.56 g
"Bear, raw (Alaska Native), meat, polar",100 g,130,3.1g,0,0,25.60 g,0.00 g,0,0
"Babyfood, toddler, macaroni and cheese",100 g,82,2.6g,7mg,112.00 mg,3.50 g,11.20 g,0.5 g,0.79 g
"Babyfood, pasta with vegetables, dinner",100 g,60,2.1g,5mg,11.00 mg,1.70 g,8.40 g,1.5 g,1.20 g
"SPAGHETTIOS, SpaghettiOs with Meatballs",100 g,95,2.8g,8mg,238.00 mg,4.37 g,12.70 g,1.6 g,3.17 g
"Gravy, country style sausage, CAMPBELL'S",100 g,119,10g,17mg,458.00 mg,3.39 g,5.08 g,0.0 g,1.69 g
"Nuts, peeled, dried, european, chestnuts",100 g,369,3.9g,0,37.00 mg,5.01 g,78.43 g,0,0
"SMART SOUP, Vietnamese Carrot Lemongrass",100 g,44,1.1g,0,145.00 mg,1.30 g,8.20 g,1.5 g,4.40 g
"Syrups, cane and 15% maple, table blends",100 g,278,0.1g,0,104.00 mg,0.00 g,69.52 g,0.1 g,68.20 g
"Pasta, cooked, plain, fresh-refrigerated",100 g,131,1.1g,33mg,6.00 mg,5.15 g,24.93 g,0,0
"Candies, ROLO Caramels in Milk Chocolate",100 g,474,21g,12mg,188.00 mg,5.08 g,67.95 g,0.9 g,63.93 g
"Candies, SNICKERS Bar, MARS SNACKFOOD US",100 g,491,24g,13mg,239.00 mg,7.53 g,61.51 g,2.3 g,50.47 g
"Potatoes, unprepared, dry mix, scalloped",100 g,358,4.6g,5mg,1578.00 mg,7.77 g,73.93 g,8.6 g,0
"Potatoes, unprepared, dry mix, au gratin",100 g,314,3.7g,0,2095.00 mg,8.90 g,74.31 g,4.1 g,0
"Beverages, POLAND SPRING, bottled, water",100 g,0,0g,0,1.00 mg,0.00 g,0.00 g,0.0 g,0
"PIZZA HUT 14"" Pepperoni Pizza, Pan Crust",100 g,291,13g,23mg,676.00 mg,11.47 g,31.79 g,2.0 g,1.95 g
"Pasta with tomato sauce, canned, no meat",100 g,70,0.4g,1mg,272.00 mg,2.22 g,14.22 g,0.9 g,4.00 g
"Lasagna with meat & sauce, frozen entree",100 g,124,4.4g,14mg,347.00 mg,6.63 g,14.39 g,1.4 g,2.96 g
"Soup, condensed, canned, cream of potato",100 g,74,1.9g,1mg,604.00 mg,1.51 g,12.79 g,1.3 g,1.44 g
"Soup, condensed, canned, cream of shrimp",100 g,72,4.1g,13mg,685.00 mg,2.22 g,6.53 g,0.2 g,0
"MURRAY, Chocolate Creme Sandwich Cookies",100 g,473,19g,0,507.00 mg,4.90 g,71.30 g,2.2 g,38.40 g
"Fish, dry heat, cooked, florida, pompano",100 g,211,12g,64mg,76.00 mg,23.69 g,0.00 g,0.0 g,0
"KELLOGG'S, Cinnamon Toast, Waffles, EGGO",100 g,325,12g,22mg,524.00 mg,5.50 g,49.50 g,1.4 g,18.20 g
"Pancakes, incomplete, dry mix, buckwheat",100 g,340,2.7g,0,684.00 mg,10.90 g,71.30 g,8.5 g,7.21 g
"GIRL SCOUTS, Thank U Berry Munch Cookies",100 g,491,22g,0,305.00 mg,4.60 g,70.00 g,1.8 g,28.90 g
"Gravy, classic chicken, HEINZ Home Style",100 g,46,2.6g,4mg,372.00 mg,0.67 g,5.01 g,0,0.00 g
"Cereals ready-to-eat, KASHI GOOD FRIENDS",100 g,299,3.2g,0,204.00 mg,9.40 g,79.30 g,21.7 g,18.80 g
"Oil, fully hydrogenated, soy, industrial",100 g,884,100g,0,0.00 mg,0.00 g,0.00 g,0.0 g,0.00 g
"Cowpeas (blackeyes), raw, immature seeds",100 g,90,0.4g,0,4.00 mg,2.95 g,18.83 g,5.0 g,3.00 g
"Egg rolls, heated, refrigerated, chicken",100 g,197,4.5g,14mg,478.00 mg,10.44 g,28.54 g,2.4 g,5.57 g
"Beef, raw, inside, imported, New Zealand",100 g,128,4.4g,55mg,40.00 mg,22.16 g,0.10 g,0.0 g,0.00 g
"Candies, chocolate-flavor roll, caramels",100 g,387,3.3g,2mg,44.00 mg,1.59 g,87.73 g,0.1 g,56.32 g
"Taro, with salt, steamed, cooked, leaves",100 g,24,0.4g,0,238.00 mg,2.72 g,3.89 g,2.0 g,0
"Veal, raw, separable lean and fat, shank",100 g,107,3.3g,63mg,107.00 mg,19.28 g,0.00 g,0.0 g,0.00 g
"Spaghetti with meat sauce, frozen entree",100 g,90,1g,6mg,238.00 mg,5.05 g,15.24 g,1.8 g,2.60 g
"Whale, raw (Alaska Native), meat, beluga",100 g,111,0.5g,80mg,78.00 mg,26.50 g,0.00 g,0.0 g,0.00 g
"Snacks, chocolate chip, crisped rice bar",100 g,404,14g,0,278.00 mg,5.10 g,73.00 g,2.2 g,0
"SUNSHINE, Reduced Fat Crackers, CHEEZ-IT",100 g,449,15g,1mg,823.00 mg,13.30 g,67.00 g,2.2 g,0.80 g
"Beverages, Classic Malt powder, OVALTINE",100 g,372,0g,0,636.00 mg,0.00 g,93.33 g,0.0 g,63.64 g
"Kale, with salt, drained, boiled, cooked",100 g,28,0.4g,0,259.00 mg,1.90 g,5.63 g,2.0 g,1.25 g
"Lamb, raw, testes, imported, New Zealand",100 g,68,2.4g,393mg,119.00 mg,11.40 g,0.14 g,0.0 g,0.00 g
"Beans, raw, mature seeds, great northern",100 g,339,1.1g,0,14.00 mg,21.86 g,62.37 g,20.2 g,2.26 g
